CODE,ADDRESS,featuredLevel,publishDate,price,numBedrooms,numBathrooms,propertyType,propertySize,category,AMV_price,sellerId,seller_name,seller_branch,sellerType,m_totalImages,m_hasVideo,m_hasVirtualTour,m_hasBrochure,ber_rating,longitude,latitude,LONGITUDE,LATITUDE
3673450,"16 Dodderbrook Ave., Oldcourt, Dublin, D24 E2YT, Ireland",featured,2022-01-27,575000,4,3,Semi-D,162.0,Buy,0,10950.0,Moovingo,Moovingo,BRANDED_AGENT,38.0,False,True,False,A3,-6.342763,53.269493,-6.3423528,53.2693334
3673477,"Apartment 27, The Oaks, River Rd, Pelletstown Manor, Royal Canal Park, Ashtown, Dublin 15, Ireland",featured,2022-01-26,320000,2,2,Apartment,70.0,Buy,0,481.0,Odessa Estates,Odessa Estates,BRANDED_AGENT,15.0,False,True,False,D1,-6.323471,53.377173,-6.3234666,53.3771739
3673344,"The Haven, 1 Cherryfield Walk, Hartstown, Dublin, D15 C9TR, Ireland",featured,2022-01-28,275000,2,1,Semi-D,58.0,Buy,0,2636.0,Duffy Auctioneers MIPAV,Duffy Auctioneers,BRANDED_AGENT,14.0,False,False,False,D1,-6.421765,53.395523,-6.4217602,53.3955236
3552259,"1a, Sacre Coeur, 11 Cedarwood Green, Ballymun, Dublin 11, D11 FY62, Ireland",featured,2022-01-30,490000,3,3,Detached,108.0,Buy,0,2655.0,Sandra D'Arcy,Sherry FitzGerald Drumcondra,BRANDED_AGENT,24.0,False,False,False,C3,-6.282095,53.396259,-6.2834682,53.39618189999999
3474112,"Seamount Rd, Seamount Dr, Malahide, Co. Dublin, K36 KH67, Ireland",featured,2022-01-11,625000,3,3,Terrace,95.0,New Homes,0,11.0,Sharon Beckett,KELLY BRADSHAW DALTON,BRANDED_AGENT,24.0,False,False,False,G,-6.256121,53.362106,-6.1487088,53.4437581
3474113,"Seamount Rd, Seamount Dr, Malahide, Co. Dublin, K36 KH67, Ireland",featured,2022-01-11,850000,4,3,Semi-D,84.0,New Homes,0,4124.0,Kate Kearney MIPAV MCEI CV TRV,DNG Murphy Condon,BRANDED_AGENT,25.0,False,False,False,E1,-8.486444,51.918711,-6.1487088,53.4437581
3476643,"Seamount Rd, Seamount Dr, Malahide, Co. Dublin, K36 KH67, Ireland",featured,2022-01-11,625000,3,3,Terrace,,New Homes,0,1907.0,Margaret Fogarty,RE/MAX Property Specialists,BRANDED_AGENT,29.0,False,True,False,SI_666,-7.107895,52.255349,-6.1487088,53.4437581
3476641,"Seamount Rd, Seamount Dr, Malahide, Co. Dublin, K36 KH67, Ireland",featured,2022-01-11,850000,4,3,Semi-D,73.0,New Homes,0,10051.0,Sunny M Fahim MIPAV MMCEPI,RELIANCE PROPERTY CONSULTANTS,BRANDED_AGENT,21.0,False,False,False,C1,-6.286219,53.337464,-6.1487088,53.4437581
3620146,"6 St Patrick's Cottages, Rathfarnham, Dublin, D14 T8Y4, Ireland",featured,2022-01-30,525000,3,1,Bungalow,70.0,Buy,0,6970.0,James Lyons O'Keeffe,James Lyons O'Keeffe,BRANDED_AGENT,21.0,True,False,False,F,-9.642424,51.553191,-6.282707200000001,53.2911341
3640338,"Longmeadows Apartments, Conyngham Rd, Saint James' (part of Phoenix Park), Dublin 8, Ireland",featured,2022-01-30,360000,2,1,Apartment,62.0,Buy,0,2835.0,Cormac Curran,Sherry FitzGerald Reynolds,BRANDED_AGENT,42.0,False,False,False,B3,-7.570388,52.045685,-6.3001434,53.3479593
3568580,"35 Merrion Strand, Dublin 4, D04 P2P4, Ireland",featured,2022-01-30,525000,2,1,Terrace,62.0,Buy,0,2852.0,P N O'Gorman Auctioneers,P N O'Gorman Ltd.,BRANDED_AGENT,26.0,False,False,False,D1,-6.969209,52.263107,-6.206970099999999,53.320818
3551533,"9 Ballygarra Park, Garristown, Co. Dublin, A42 X309, Ireland",featured,2022-01-28,300000,3,2,Semi-D,120.0,Buy,0,2852.0,P N O'Gorman Auctioneers,P N O'Gorman Ltd.,BRANDED_AGENT,18.0,False,False,False,D1,-6.944157,52.389123,-6.3857735,53.565651
3543920,"Carmanhall Rd, Sandyford, Dublin, Ireland",featured,2022-01-25,325000,2,2,Apartment,85.0,Buy,1,3238.0,Fintan Gilligan MIPAV REV,DNG Gilligan,BRANDED_AGENT,18.0,False,False,False,C1,-9.004779,53.730969,-6.2155676,53.2777393
3670483,"3 Fitzroy Ave, St Patrick's Terrace, Drumcondra, Dublin 3, D03 FP64, Ireland",featured,2022-01-28,445000,3,2,Terrace,95.0,Buy,0,2739.0,Warren McCreery B.Sc. MRICS,"Warren McCreery Auctioneers, Valuers, Estate Agents",BRANDED_AGENT,15.0,False,False,False,B2,-6.958447,52.395209,-6.257993799999999,53.362006
3586471,"The Barley House, Cork St, Saint Catherine's, Dublin 8, Ireland",featured,2022-01-26,350000,2,2,Apartment,73.0,Buy,0,2641.0,Kevin Flanigan Estates,Kevin Flanigan Estates,BRANDED_AGENT,13.0,True,False,False,C2,-6.233447,53.443949,-6.2864909,53.3376808
3652462,"Terenure, Dublin 6W, Co. Dublin, Ireland",featured,2022-01-30,395000,2,2,Apartment,78.0,Buy,0,1196.0,Garry O'Donnell,ERA Downey McCarthy,BRANDED_AGENT,20.0,False,False,True,C2,-8.486738,51.919672,-6.301157700000001,53.3084522
3668173,"8 Glen Ellan Gardens, Outlands, Swords, Co. Dublin, K67 PK30, Ireland",featured,2022-01-30,435000,3,3,Semi-D,155.0,Buy,0,1196.0,Michael Downey ERA,ERA Downey McCarthy,BRANDED_AGENT,29.0,False,False,True,E2,-8.481995,51.883494,-6.2355737,53.4679345
